type	latitude	longitude	name	icon
W	18.0243230	-67.1740580		Flag, Red
W	18.0239965	-67.1738863		Flag, Red
W	18.0236292	-67.1737146		Flag, Red
W	18.0202828	-67.1730709		Flag, Red
W	18.0197523	-67.1730280		Flag, Red
W	18.0192217	-67.1729851		Flag, Red
W	18.0185279	-67.1729851		Flag, Red
W	18.0197523	-67.1734280		Flag, Red
W	18.0243230	-67.1744580		Flag, Red
W	18.0243230	-67.1748580		Flag, Red
W	18.0243230	-67.1752580		Flag, Red
W	18.0236292	-67.1761146		Flag, Red
W	18.0243230	-67.1992580		Flag, Red
W	18.0243230	-67.1996580		Flag, Red
W	18.0209358	-67.1990709		Flag, Red
W	18.0213030	-67.1990709		Flag, Red
W	18.0239965	-67.1998863		Flag, Red
W	18.0243230	-67.2000580		Flag, Red
W	18.0219152	-67.1995567		Flag, Red
W	18.0213030	-67.1994709		Flag, Red
W	18.0209358	-67.1994709		Flag, Red
W	18.0202828	-67.1994709		Flag, Red
W	18.0202828	-67.1998709		Flag, Red
W	18.0209358	-67.1998709		Flag, Red
W	18.0213030	-67.1998709		Flag, Red
W	18.0219152	-67.1999567		Flag, Red
W	18.0219152	-67.2003567		Flag, Red
W	18.0213030	-67.2002709		Flag, Red
W	18.0209358	-67.2002709		Flag, Red
W	18.0202828	-67.2002709		Flag, Red
W	18.0209358	-67.2006709		Flag, Red
W	18.0239965	-67.2018863		Flag, Red
W	18.0236292	-67.2017146		Flag, Red
W	18.0232211	-67.2014571		Flag, Red
W	18.0236292	-67.2021146		Flag, Red
W	18.0236292	-67.2025146		Flag, Red
W	18.0232211	-67.2022571		Flag, Red
W	18.0219152	-67.2023567		Flag, Red
W	18.0232211	-67.2026571		Flag, Red
W	18.0236292	-67.2029146		Flag, Red
W	18.0243230	-67.2036580		Flag, Red
W	18.0239965	-67.2034863		Flag, Red
W	18.0236292	-67.2033146		Flag, Red
W	18.0232211	-67.2030571		Flag, Red
W	18.0228130	-67.2028855		Flag, Red
W	18.0224049	-67.2028426		Flag, Red
W	18.0219152	-67.2027567		Flag, Red
W	18.0224049	-67.2032426		Flag, Red
W	18.0228130	-67.2032855		Flag, Red
W	18.0232211	-67.2034571		Flag, Red
W	18.0236292	-67.2037146		Flag, Red
W	18.0232211	-67.2038571		Flag, Red
W	18.0228130	-67.2036855		Flag, Red
W	18.0228130	-67.2044855		Flag, Red
W	18.0224049	-67.2052426		Flag, Red
W	18.0219152	-67.2055567		Flag, Red
W	18.0224049	-67.2056426		Flag, Red
W	18.0224049	-67.2060426		Flag, Red
W	18.0219152	-67.2059567		Flag, Red
W	18.0213030	-67.2058709		Flag, Red
W	18.0213030	-67.2062709		Flag, Red
W	18.0219152	-67.2063567		Flag, Red
W	18.0224049	-67.2064426		Flag, Red
W	18.0224049	-67.2068426		Flag, Red
W	18.0219152	-67.2067567		Flag, Red
W	18.0213030	-67.2066709		Flag, Red
W	18.0209358	-67.2066709		Flag, Red
W	18.0202828	-67.2066709		Flag, Red
W	18.0197523	-67.2066280		Flag, Red
W	18.0192217	-67.2065851		Flag, Red
W	18.0179566	-67.2067138		Flag, Red
W	18.0173852	-67.2067138		Flag, Red
W	18.0168547	-67.2068426		Flag, Red
W	18.0163650	-67.2069284		Flag, Red
W	18.0163650	-67.2073284		Flag, Red
W	18.0168547	-67.2072426		Flag, Red
W	18.0173852	-67.2071138		Flag, Red
W	18.0179566	-67.2071138		Flag, Red
W	18.0185279	-67.2069851		Flag, Red
W	18.0192217	-67.2069851		Flag, Red
W	18.0197523	-67.2070280		Flag, Red
W	18.0202828	-67.2070709		Flag, Red
W	18.0209358	-67.2070709		Flag, Red
W	18.0213030	-67.2070709		Flag, Red
W	18.0219152	-67.2071567		Flag, Red
W	18.0224049	-67.2072426		Flag, Red
W	18.0239965	-67.2082863		Flag, Red
W	18.0232211	-67.2078571		Flag, Red
W	18.0224049	-67.2076426		Flag, Red
W	18.0219152	-67.2075567		Flag, Red
W	18.0213030	-67.2074709		Flag, Red
W	18.0209358	-67.2074709		Flag, Red
W	18.0202828	-67.2074709		Flag, Red
W	18.0197523	-67.2074280		Flag, Red
W	18.0192217	-67.2073851		Flag, Red
W	18.0185279	-67.2073851		Flag, Red
W	18.0179566	-67.2075138		Flag, Red
W	18.0173852	-67.2075138		Flag, Red
W	18.0168547	-67.2076426		Flag, Red
W	18.0153447	-67.2083859		Flag, Red
W	18.0168547	-67.2080426		Flag, Red
W	18.0173852	-67.2079138		Flag, Red
W	18.0179566	-67.2079138		Flag, Red
W	18.0185279	-67.2077851		Flag, Red
W	18.0192217	-67.2077851		Flag, Red
W	18.0197523	-67.2078280		Flag, Red
W	18.0202828	-67.2078709		Flag, Red
W	18.0209358	-67.2078709		Flag, Red
W	18.0213030	-67.2078709		Flag, Red
W	18.0219152	-67.2079567		Flag, Red
W	18.0224049	-67.2080426		Flag, Red
W	18.0228130	-67.2080855		Flag, Red
W	18.0232211	-67.2082571		Flag, Red
W	18.0243230	-67.2088580		Flag, Red
W	18.0239965	-67.2090863		Flag, Red
W	18.0224049	-67.2084426		Flag, Red
W	18.0219152	-67.2083567		Flag, Red
W	18.0213030	-67.2082709		Flag, Red
W	18.0209358	-67.2082709		Flag, Red
W	18.0202828	-67.2082709		Flag, Red
W	18.0197523	-67.2082280		Flag, Red
W	18.0192217	-67.2081851		Flag, Red
W	18.0185279	-67.2081851		Flag, Red
W	18.0179566	-67.2083138		Flag, Red
W	18.0158344	-67.2086142		Flag, Red
W	18.0163650	-67.2089284		Flag, Red
W	18.0173852	-67.2087138		Flag, Red
W	18.0179566	-67.2087138		Flag, Red
W	18.0185279	-67.2085851		Flag, Red
W	18.0192217	-67.2085851		Flag, Red
W	18.0197523	-67.2086280		Flag, Red
W	18.0202828	-67.2086709		Flag, Red
W	18.0209358	-67.2086709		Flag, Red
W	18.0213030	-67.2086709		Flag, Red
W	18.0219152	-67.2087567		Flag, Red
W	18.0224049	-67.2088426		Flag, Red
W	18.0236292	-67.2093146		Flag, Red
W	18.0239965	-67.2094863		Flag, Red
W	18.0243230	-67.2100580		Flag, Red
W	18.0239965	-67.2098863		Flag, Red
W	18.0236292	-67.2097146		Flag, Red
W	18.0232211	-67.2094571		Flag, Red
W	18.0228130	-67.2092855		Flag, Red
W	18.0224049	-67.2092426		Flag, Red
W	18.0219152	-67.2091567		Flag, Red
W	18.0213030	-67.2090709		Flag, Red
W	18.0209358	-67.2090709		Flag, Red
W	18.0202828	-67.2090709		Flag, Red
W	18.0197523	-67.2090280		Flag, Red
W	18.0192217	-67.2089851		Flag, Red
W	18.0185279	-67.2089851		Flag, Red
W	18.0179566	-67.2091138		Flag, Red
W	18.0209358	-67.2094709		Flag, Red
W	18.0228130	-67.2096855		Flag, Red
W	18.0232211	-67.2098571		Flag, Red
